dataset,strategy,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
NPP,DummyClassifier,0.5999666666666666,0.5,0.5999666666666666,1.0,0.7499739577907873,0.5
PP,DummyClassifier,0.596135304515507,0.5,0.596135304515507,1.0,0.7469733960886965,0.5
