dataset,strategy,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
NPP,DummyClassifier,0.5999666666666666,0.5,0.5999666666666666,1.0,0.7499739577907873,0.5
PP,DummyClassifier,0.596135304515507,0.5,0.596135304515507,1.0,0.7469733960886965,0.5
NPP,AutoGluon(best),0.9997666666666667,0.9997916608788259,0.9999444259197511,0.9996666481471193,0.9998055177395605,0.9999998449117147
PP,AutoGluon(best),0.9213000160694199,0.9338310948200697,0.9992248062015504,0.8686569175820473,0.9293774108655684,0.9828494463540286
